Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jos,BE69771770897312,BE73688913097018,Tue Feb 18 02:52:46 CET 2020,2058.03,EUR,Hic est atque.
Jos,BE69771770897312,BE81780552326108,Tue Feb 18 04:15:12 CET 2020,-159.45,EUR,Omnis pariatur aliquid similique aperiam.
Jos,BE69771770897312,BE71963016059640,Wed Feb 19 03:20:30 CET 2020,-1426.8,EUR,Voluptatem occaecati accusamus quaerat.
Jos,BE69771770897312,BE52147653886685,Sun Feb 16 06:46:48 CET 2020,478.65,EUR,Voluptatem omnis eius voluptate ut iure perspiciatis.
Jos,BE69771770897312,BE81210401586924,Thu Feb 13 06:54:44 CET 2020,1988.7,EUR,Maxime unde illo eum reiciendis quaerat.
Jos,BE69771770897312,BE53348011823156,Sun Jan 26 05:18:27 CET 2020,-1278.35,EUR,Voluptatem aspernatur ullam tempore laboriosam facere eveniet.
Jos,BE69771770897312,BE18747850422459,Sun Feb 16 10:58:49 CET 2020,2458.65,EUR,Voluptatum nobis quis assumenda maxime ipsum sunt.
Jos,BE69771770897312,BE04020176432550,Sat Feb 08 00:18:21 CET 2020,3153.83,EUR,Possimus laboriosam dolorem nesciunt necessitatibus.
Jos,BE69771770897312,BE26081120918823,Sat Feb 15 15:02:23 CET 2020,4003.71,EUR,Tempora temporibus qui odio cum sed qui.
Jos,BE69771770897312,BE38705937975436,Tue Feb 11 10:21:47 CET 2020,3369.25,EUR,Corporis voluptatem excepturi laudantium mollitia nobis aut.
Jos,BE69771770897312,BE05061498469877,Mon Feb 17 20:22:39 CET 2020,491.54,EUR,Porro occaecati rem sapiente quia laborum.
Jos,BE69771770897312,BE29766302200119,Mon Feb 17 19:37:24 CET 2020,342.87,EUR,Incidunt dolores vitae et sit in doloribus.
Jos,BE69771770897312,BE42814216930015,Tue Feb 18 17:22:02 CET 2020,32.54,EUR,Eum et reprehenderit laudantium sit deleniti in iste.
Jos,BE69771770897312,BE32172134795642,Fri Feb 07 06:32:16 CET 2020,798.78,EUR,Quo sed culpa excepturi quae deserunt eos non.
Jos,BE69771770897312,BE78192308205884,Thu Feb 06 21:48:53 CET 2020,4172.53,EUR,Aut explicabo nostrum facilis.
Jos,BE69771770897312,BE24064595594563,Fri Feb 14 02:44:03 CET 2020,254.83,EUR,Beatae et id voluptas distinctio quos ut totam.
Jos,BE69771770897312,BE69988277149846,Tue Feb 11 07:02:28 CET 2020,-66.26,EUR,Deserunt natus incidunt eligendi et voluptatem non iure.
Jos,BE69771770897312,BE03530242854796,Mon Feb 03 22:40:52 CET 2020,2497.68,EUR,Aut suscipit ut dicta iure.
Jos,BE69771770897312,BE52589760556622,Sat Feb 15 22:02:56 CET 2020,-3849.5,EUR,Est explicabo asperiores voluptatem amet distinctio.
Jos,BE69771770897312,BE45208233878326,Sat Feb 15 21:50:12 CET 2020,1661.03,EUR,Recusandae unde voluptas.
Jos,BE69771770897312,BE62824210875254,Mon Feb 17 08:29:10 CET 2020,-2898.41,EUR,Non illo suscipit quaerat nihil.
Jos,BE69771770897312,BE51366936286803,Sat Feb 08 17:42:46 CET 2020,4065.98,EUR,Et aspernatur sit iure non temporibus maxime.
Jos,BE69771770897312,BE15863217104890,Mon Feb 17 14:35:46 CET 2020,-2816.98,EUR,Saepe officiis sequi cum et quisquam quaerat tenetur.
Jos,BE69771770897312,BE64624568609191,Tue Feb 18 11:24:32 CET 2020,-2322.64,EUR,Quia maxime similique deserunt tempora tempore iure.
Jos,BE69771770897312,BE50777405659470,Thu Feb 13 01:36:55 CET 2020,-1551.4,EUR,Officia excepturi quas tempora ea aut.
Jos,BE69771770897312,BE11990290208380,Tue Jan 28 11:23:30 CET 2020,2044.27,EUR,Quo qui officia.
Jos,BE69771770897312,BE22081005200805,Wed Feb 19 04:47:43 CET 2020,-1013.76,EUR,Alias minima vero.
Jos,BE69771770897312,BE35332218998855,Mon Feb 17 09:58:17 CET 2020,-2279.19,EUR,Est dolore beatae inventore tenetur ut veritatis.
Jos,BE69771770897312,BE59791476984678,Wed Feb 19 07:59:36 CET 2020,239.24,EUR,Possimus iste non ipsa dolore esse debitis natus.
Jos,BE69771770897312,BE15353439980409,Sat Feb 15 18:40:05 CET 2020,1081.57,EUR,Veritatis iure recusandae excepturi accusamus.
Jos,BE69771770897312,BE08111400953635,Wed Feb 19 03:09:41 CET 2020,602.95,EUR,Rem sequi maiores quisquam non quae velit dolor.
Jos,BE69771770897312,BE09316575223249,Mon Feb 17 08:34:15 CET 2020,2408.38,EUR,Aut libero accusantium accusantium.
Jos,BE69771770897312,BE91226575995013,Tue Feb 18 17:42:13 CET 2020,-2696.67,EUR,Deserunt similique perferendis dolorum deleniti et.
