Account name,Account IBAN,Counteraccount IBAN,Transaction date,Amount,Currency,Detail
Jos,BE69771770897312,BE81317293177638,Tue Jan 28 03:45:44 CET 2020,-4245.73,EUR,Aspernatur accusamus qui unde dolores laudantium voluptates occaecati.
Jos,BE69771770897312,BE15563218722574,Sun Feb 02 16:49:24 CET 2020,-2263.59,EUR,Veritatis qui voluptas nostrum iste vitae maxime enim.
Jos,BE69771770897312,BE16505729607717,Sat Feb 08 00:43:38 CET 2020,140.82,EUR,Sit eius earum facere ut minima vitae.
Jos,BE69771770897312,BE16920065122364,Fri Feb 14 17:30:43 CET 2020,4697.92,EUR,At quos assumenda nesciunt omnis assumenda ea.
Jos,BE69771770897312,BE67195622224080,Sat Feb 01 02:28:17 CET 2020,4634.16,EUR,Architecto autem est et accusamus exercitationem repellendus accusamus.
Jos,BE69771770897312,BE87552217186336,Tue Feb 04 18:54:07 CET 2020,3580.4,EUR,Quos sit autem et sed.
Jos,BE69771770897312,BE87378572435158,Thu Feb 06 13:25:32 CET 2020,-521.58,EUR,Recusandae corrupti dolorum.
Jos,BE69771770897312,BE32680023670787,Fri Feb 07 17:49:15 CET 2020,2602.45,EUR,Numquam eius deserunt et.
Jos,BE69771770897312,BE58066773951566,Tue Feb 18 08:39:02 CET 2020,-2678.92,EUR,Quis molestiae quaerat illo qui harum porro.
Jos,BE69771770897312,BE17746391468175,Tue Feb 18 11:03:28 CET 2020,4031.52,EUR,Nesciunt ut voluptas facilis non.
Jos,BE69771770897312,BE55118268662981,Wed Feb 19 01:54:13 CET 2020,-3778.83,EUR,Doloremque ut aliquid repudiandae.
Jos,BE69771770897312,BE15085415836036,Mon Feb 17 08:07:11 CET 2020,-2382.44,EUR,Similique maxime dolore eos in.
Jos,BE69771770897312,BE12316575490139,Fri Feb 14 20:30:25 CET 2020,161.57,EUR,Repudiandae molestiae facere voluptatem delectus quas itaque.
Jos,BE69771770897312,BE80634657785998,Mon Feb 10 11:46:10 CET 2020,4883.65,EUR,Quo voluptatem dolores nisi saepe qui quidem quasi.
Jos,BE69771770897312,BE42015511754537,Sun Feb 16 00:28:26 CET 2020,-1490.43,EUR,Doloremque eveniet pariatur doloribus blanditiis.
Jos,BE69771770897312,BE06888069121196,Wed Feb 19 19:05:11 CET 2020,1552.43,EUR,Repudiandae deleniti ut suscipit eligendi itaque accusamus.
Jos,BE69771770897312,BE20053641222451,Sun Feb 16 23:05:02 CET 2020,-4412.03,EUR,Nihil commodi aut et dolorum sit harum.
Jos,BE69771770897312,BE19300403916860,Tue Feb 18 23:55:38 CET 2020,-4594.79,EUR,Molestiae et aut ut architecto sapiente ab odit.
Jos,BE69771770897312,BE53727455982970,Wed Feb 19 06:49:58 CET 2020,-4457.92,EUR,Velit aliquid temporibus animi.
Jos,BE69771770897312,BE19488610575467,Fri Jan 31 18:55:37 CET 2020,1185.8,EUR,Ullam quo commodi ea cum quae.
Jos,BE69771770897312,BE97091359750314,Wed Feb 19 23:41:48 CET 2020,4580.34,EUR,Aut vitae est.
Jos,BE69771770897312,BE25008885034846,Sun Feb 02 18:08:24 CET 2020,-2852.3,EUR,Perspiciatis necessitatibus totam odio sed sed quis.
Jos,BE69771770897312,BE76876016957236,Fri Feb 14 07:09:49 CET 2020,-286.74,EUR,Deleniti deserunt perferendis quisquam.
Jos,BE69771770897312,BE18243280297069,Thu Feb 20 08:23:53 CET 2020,2151.44,EUR,Enim tempora maxime fugit eveniet asperiores excepturi aut.
Jos,BE69771770897312,BE60849928989593,Wed Feb 12 22:37:28 CET 2020,-1429.79,EUR,Ut doloremque cumque non.
Jos,BE69771770897312,BE59099411586362,Sun Feb 16 23:17:46 CET 2020,1605.69,EUR,Ducimus et placeat illum non ea qui.
Jos,BE69771770897312,BE17836366723228,Thu Feb 13 15:24:11 CET 2020,-1551.67,EUR,Qui vitae eos.
Jos,BE69771770897312,BE20088266571856,Fri Feb 14 05:35:24 CET 2020,-855.04,EUR,Et reiciendis aut optio rerum laborum.
Jos,BE69771770897312,BE59874687567013,Tue Feb 18 18:29:46 CET 2020,-580.12,EUR,Eos rerum qui ducimus ad.
Jos,BE69771770897312,BE17346811980558,Tue Feb 18 15:35:17 CET 2020,-3688.27,EUR,Nihil earum a est tempore qui qui.
Jos,BE69771770897312,BE52857827370034,Tue Feb 18 07:17:44 CET 2020,1766.07,EUR,Sed quidem at tempora dolor debitis.
Jos,BE69771770897312,BE45844544614147,Sat Feb 15 10:16:49 CET 2020,427.5,EUR,Et et corporis veritatis.
Jos,BE69771770897312,BE43981600922293,Wed Feb 05 04:04:41 CET 2020,-869.19,EUR,Expedita veniam ipsam et aliquid aliquam perspiciatis sed.
Jos,BE69771770897312,BE84886926850605,Sat Feb 15 13:09:29 CET 2020,-2624.58,EUR,Vitae repellendus quo reiciendis.
Jos,BE69771770897312,BE94109006050120,Mon Feb 17 20:44:29 CET 2020,4186.4,EUR,Rerum omnis labore.
Jos,BE69771770897312,BE96126333924735,Mon Feb 17 22:52:02 CET 2020,-4534.11,EUR,Numquam et sit.
Jos,BE69771770897312,BE96188233795250,Mon Feb 03 00:02:14 CET 2020,593.29,EUR,Voluptatem distinctio fuga et ipsam quod temporibus.
Jos,BE69771770897312,BE40346093966841,Thu Feb 20 08:15:34 CET 2020,-1868.75,EUR,Non soluta tempora.
Jos,BE69771770897312,BE04651194124363,Sun Feb 09 17:07:24 CET 2020,197.5,EUR,Rerum sequi excepturi et.
